Wyoming Cowboys,/college-basketball/teams/team-page.cfm/team/wyoming
Arizona Wildcats,/college-basketball/teams/team-page.cfm/team/arizona
Arizona State Sun Devils,/college-basketball/teams/team-page.cfm/team/arizona-state
California Golden Bears,/college-basketball/teams/team-page.cfm/team/california-berkeley
Colorado Buffaloes,/college-basketball/teams/team-page.cfm/team/colorado
Oregon Ducks,/college-basketball/teams/team-page.cfm/team/oregon
Oregon State Beavers,/college-basketball/teams/team-page.cfm/team/oregon-state
Southern California Trojans,/college-basketball/teams/team-page.cfm/team/southern-california
Stanford Cardinal,/college-basketball/teams/team-page.cfm/team/stanford
UCLA Bruins,/college-basketball/teams/team-page.cfm/team/california-los-angeles
Utah Utes,/college-basketball/teams/team-page.cfm/team/utah
Washington Huskies,/college-basketball/teams/team-page.cfm/team/washington
Washington State Cougars,/college-basketball/teams/team-page.cfm/team/washington-state
East Tennessee State Buccaneers,/college-basketball/teams/team-page.cfm/team/east-tennessee-state
Furman  Paladins,/college-basketball/teams/team-page.cfm/team/furman
Mercer Bears,/college-basketball/teams/team-page.cfm/team/mercer
Samford Bulldogs,/college-basketball/teams/team-page.cfm/team/samford
Citadel Bulldogs,/college-basketball/teams/team-page.cfm/team/the-citadel
North Carolina-Greensboro Spartans,/college-basketball/teams/team-page.cfm/team/north-carolina-greensboro
Tennessee-Chattanooga Moccasins,/college-basketball/teams/team-page.cfm/team/tennessee-chattanooga
Virginia Military Keydets,/college-basketball/teams/team-page.cfm/team/virginia-military-institute
Western Carolina Catamounts,/college-basketball/teams/team-page.cfm/team/western-carolina
Wofford Terriers,/college-basketball/teams/team-page.cfm/team/wofford-college
Denver Pioneers,/college-basketball/teams/team-page.cfm/team/denver
IUPU-Fort Wayne Mastadons,/college-basketball/teams/team-page.cfm/team/indiana-purdue-fort-wayne
Nebraska-Omaha Mavericks,/college-basketball/teams/team-page.cfm/team/nebraska-omaha
North Dakota State Bison,/college-basketball/teams/team-page.cfm/team/north-dakota-state
Oral Roberts Golden Eagles,/college-basketball/teams/team-page.cfm/team/oral-roberts
South Dakota Coyotes,/college-basketball/teams/team-page.cfm/team/south-dakota
South Dakota State Jackrabbits,/college-basketball/teams/team-page.cfm/team/south-dakota-state
Western Illinois Leathernecks,/college-basketball/teams/team-page.cfm/team/western-illinois
Chicago State Cougars,/college-basketball/teams/team-page.cfm/team/chicago-state
California State-Bakersfield Roadrunners,/college-basketball/teams/team-page.cfm/team/california-state-bakersfield
Grand Canyon Antelope,/college-basketball/teams/team-page.cfm/team/grand-canyon
